Price,Close,High,Low,Open,Volume
Ticker,HNGE,HNGE,HNGE,HNGE,HNGE
Date,,,,,
2025-07-31,44.95000076293945,46.52000045776367,43.75,44.13999938964844,532900
2025-08-01,44.95000076293945,45.900001525878906,42.560001373291016,43.349998474121094,571200
2025-08-04,48.220001220703125,48.61000061035156,45.560001373291016,45.81999969482422,809500
2025-08-05,48.220001220703125,49.45000076293945,46.029998779296875,48.189998626708984,1674400
2025-08-06,60.54999923706055,62.0,52.25,54.845001220703125,2983300
2025-08-07,60.349998474121094,60.96699905395508,57.68000030517578,60.41999816894531,867900
2025-08-08,56.68000030517578,60.63999938964844,55.04999923706055,60.31999969482422,1295800
2025-08-11,55.720001220703125,58.34000015258789,54.5099983215332,56.630001068115234,611900
2025-08-12,55.9900016784668,56.290000915527344,54.012001037597656,55.560001373291016,522400
2025-08-13,58.04999923706055,59.150001525878906,55.849998474121094,56.29999923706055,594800
2025-08-14,57.189998626708984,59.09000015258789,56.2400016784668,57.54999923706055,448200
2025-08-15,59.06999969482422,60.5,57.25,58.06999969482422,712900
2025-08-18,59.029998779296875,62.18000030517578,59.0,59.34000015258789,782700
2025-08-19,56.06999969482422,56.939998626708984,50.290000915527344,52.0,1902900
2025-08-20,57.2400016784668,57.41999816894531,54.36399841308594,55.709999084472656,704200
2025-08-21,56.0,57.77000045776367,55.91999816894531,56.880001068115234,545500
2025-08-22,57.56999969482422,58.11000061035156,55.22999954223633,55.7599983215332,773300
2025-08-25,55.06999969482422,57.06999969482422,54.810001373291016,57.0,493000
2025-08-26,55.13999938964844,55.959999084472656,53.970001220703125,55.0,689500
2025-08-27,57.77000045776367,58.0,54.6349983215332,55.02000045776367,846000
2025-08-28,57.72999954223633,57.95000076293945,55.0,56.9900016784668,372500
2025-08-29,56.08000183105469,57.560001373291016,55.5,56.400001525878906,479500
2025-09-02,55.68000030517578,56.1349983215332,53.5,54.75,659500
2025-09-03,57.439998626708984,57.54499816894531,54.400001525878906,54.7400016784668,922900
2025-09-04,56.0099983215332,57.0,54.29999923706055,56.5,963600
2025-09-05,55.06999969482422,56.35100173950195,54.08000183105469,54.97999954223633,780300
2025-09-08,56.970001220703125,56.970001220703125,54.349998474121094,54.349998474121094,1316300
2025-09-09,57.310001373291016,58.25,55.0,55.5,1210300
2025-09-10,56.15999984741211,57.81999969482422,55.130001068115234,56.5,970100
2025-09-11,59.97999954223633,60.20000076293945,55.130001068115234,56.15999984741211,1576200
2025-09-12,57.630001068115234,60.0099983215332,56.77000045776367,59.2400016784668,1335600
2025-09-15,58.06999969482422,58.47999954223633,56.61000061035156,57.0,922900
2025-09-16,58.869998931884766,59.2400016784668,57.11000061035156,57.310001373291016,1003000
2025-09-17,56.7400016784668,59.66999816894531,55.61000061035156,58.25,1647100
2025-09-18,56.90999984741211,58.119998931884766,56.029998779296875,56.599998474121094,1615000
2025-09-19,56.90999984741211,57.71500015258789,55.749000549316406,56.25,2667400
2025-09-22,57.84000015258789,57.84000015258789,55.45000076293945,56.08000183105469,1081500
2025-09-23,59.63999938964844,61.88999938964844,58.439998626708984,58.439998626708984,1844200
2025-09-24,54.22999954223633,59.9370002746582,53.630001068115234,59.08000183105469,2282800
2025-09-25,51.25,53.599998474121094,49.5099983215332,51.63999938964844,3073400
2025-09-26,48.459999084472656,51.9900016784668,48.380001068115234,51.47999954223633,1222400
2025-09-29,49.88999938964844,50.72999954223633,48.66999816894531,49.0,1352900
2025-09-30,49.08000183105469,50.349998474121094,48.599998474121094,50.16999816894531,1158800
