Price,Close,High,Low,Open,Volume
Ticker,FIG,FIG,FIG,FIG,FIG
Date,,,,,
2025-10-09,67.94000244140625,70.79000091552734,67.14800262451172,70.16000366210938,11430500
2025-10-10,61.060001373291016,70.4000015258789,60.7599983215332,69.66999816894531,16558800
2025-10-13,64.27999877929688,65.47000122070312,61.36000061035156,63.0,8221800
2025-10-14,60.81999969482422,62.75,60.49100112915039,62.0,7166700
2025-10-15,63.81999969482422,65.5,60.880001068115234,62.220001220703125,10656800
2025-10-16,57.790000915527344,67.68000030517578,57.43000030517578,65.1500015258789,16694300
2025-10-17,56.84000015258789,57.98699951171875,54.099998474121094,57.0,7529100
2025-10-20,55.709999084472656,58.58000183105469,54.0,58.18000030517578,7895600
2025-10-21,55.709999084472656,57.25,54.91999816894531,55.880001068115234,5368200
2025-10-22,52.810001373291016,54.849998474121094,51.099998474121094,54.720001220703125,8750200
2025-10-23,53.349998474121094,53.68000030517578,52.0,53.36000061035156,3545800
2025-10-24,53.36000061035156,55.47999954223633,53.0,54.54999923706055,4439800
2025-10-27,53.13999938964844,55.27000045776367,52.72999954223633,54.47999954223633,4333200
2025-10-28,51.88999938964844,54.75,51.81999969482422,54.75,4810100
2025-10-29,50.810001373291016,52.63999938964844,50.20600128173828,52.099998474121094,5824500
2025-10-30,48.84000015258789,50.41999816894531,48.68000030517578,50.06999969482422,6417400
2025-10-31,49.84000015258789,50.29999923706055,46.880001068115234,48.470001220703125,8199000
2025-11-03,48.16999816894531,50.040000915527344,47.43000030517578,49.95000076293945,8654500
2025-11-04,45.810001373291016,48.689998626708984,45.439998626708984,46.349998474121094,7701200
2025-11-05,44.0099983215332,46.540000915527344,43.79999923706055,46.119998931884766,14285500
2025-11-06,45.97999954223633,46.790000915527344,43.0,45.81999969482422,20916700
2025-11-07,44.25,45.02000045776367,43.0,44.52000045776367,32071000
2025-11-10,44.41999816894531,44.83399963378906,42.2400016784668,44.75,12845100
2025-11-11,44.47999954223633,44.97999954223633,42.900001525878906,43.83000183105469,9644500
2025-11-12,44.0,45.41999816894531,43.40999984741211,44.2400016784668,5309000
2025-11-13,40.560001373291016,43.314998626708984,40.02000045776367,43.209999084472656,10436000
2025-11-14,38.529998779296875,41.23899841308594,38.529998779296875,40.0,8574100
2025-11-17,37.380001068115234,38.529998779296875,36.560001373291016,37.79999923706055,14106700
2025-11-18,36.7599983215332,37.32500076293945,35.720001220703125,36.47999954223633,9129200
2025-11-19,35.7400016784668,36.70000076293945,35.5,36.59000015258789,6637100
2025-11-20,33.56999969482422,36.89400100708008,33.41999816894531,36.40999984741211,8622500
2025-11-21,34.310001373291016,34.560001373291016,32.83000183105469,33.54999923706055,7307300
2025-11-24,35.470001220703125,35.71500015258789,33.349998474121094,34.369998931884766,7173900
2025-11-25,35.5,35.630001068115234,33.5,35.0099983215332,5388300
2025-11-26,36.130001068115234,36.45000076293945,34.81999969482422,35.599998474121094,4800500
2025-11-28,35.970001220703125,36.54999923706055,35.599998474121094,36.2599983215332,2927800
2025-12-01,35.689998626708984,36.099998474121094,34.2599983215332,35.099998474121094,6044600
2025-12-02,36.18000030517578,36.86000061035156,35.83000183105469,36.099998474121094,5073000
2025-12-03,37.369998931884766,37.5,35.32500076293945,36.279998779296875,4053100
2025-12-04,38.709999084472656,39.150001525878906,36.70000076293945,37.31999969482422,6476100
2025-12-05,37.970001220703125,38.83300018310547,37.400001525878906,38.400001525878906,5004800
2025-12-08,37.650001525878906,38.06800079345703,36.63999938964844,38.0,4985400
2025-12-09,38.470001220703125,39.0099983215332,36.9900016784668,37.31999969482422,4096800
2025-12-10,39.2599983215332,40.279998779296875,38.12699890136719,38.349998474121094,6343600
2025-12-11,38.689998626708984,38.90999984741211,37.810001373291016,38.90999984741211,4020600
2025-12-12,36.06999969482422,38.68000030517578,36.0099983215332,38.66999816894531,5021800
2025-12-15,35.08000183105469,35.90999984741211,33.92499923706055,35.810001373291016,7219400
2025-12-16,35.939998626708984,36.18000030517578,34.65999984741211,34.65999984741211,4747800
2025-12-17,37.36000061035156,37.79999923706055,35.856998443603516,36.0,6076500
2025-12-18,36.9900016784668,38.4900016784668,36.56999969482422,37.880001068115234,5574400
2025-12-19,39.47999954223633,39.5,37.43600082397461,37.70000076293945,5513900
2025-12-22,39.25,40.18000030517578,38.82099914550781,40.0,4575800
2025-12-23,38.38999938964844,38.869998931884766,37.40999984741211,38.599998474121094,3861100
2025-12-24,38.86000061035156,38.935001373291016,38.11000061035156,38.29999923706055,1552800
2025-12-26,38.540000915527344,39.369998931884766,37.880001068115234,39.2599983215332,3282000
2025-12-29,37.83000183105469,38.67900085449219,37.65999984741211,37.77000045776367,3631600
2025-12-30,37.630001068115234,38.400001525878906,37.47100067138672,37.75,3604700
2025-12-31,37.369998931884766,37.650001525878906,36.529998779296875,37.04999923706055,5020700
2026-01-02,37.61000061035156,38.16999816894531,36.22999954223633,38.0,5350300
2026-01-05,37.06999969482422,38.540000915527344,36.29999923706055,38.099998474121094,7240900
2026-01-06,37.4900016784668,37.5,35.709999084472656,36.79999923706055,4985100
2026-01-07,37.2599983215332,37.900001525878906,36.441001892089844,36.83000183105469,3169800
2026-01-08,37.27000045776367,37.779998779296875,36.150001525878906,37.15999984741211,3881500
2026-01-09,37.33000183105469,38.04999923706055,35.970001220703125,37.189998626708984,4021700
2026-01-12,36.400001525878906,37.77000045776367,36.04999923706055,37.099998474121094,5117300
2026-01-13,33.560001373291016,36.53499984741211,33.029998779296875,36.09000015258789,14265800
2026-01-14,32.36000061035156,34.13999938964844,32.06999969482422,33.86000061035156,8960300
2026-01-15,31.600000381469727,32.470001220703125,31.600000381469727,32.29999923706055,7897300
2026-01-16,29.56999969482422,31.549999237060547,29.479999542236328,31.549999237060547,14904600
2026-01-20,27.760000228881836,28.788000106811523,27.479999542236328,28.18000030517578,14621800
2026-01-21,27.06999969482422,27.860000610351562,26.790000915527344,27.709999084472656,11862900
2026-01-22,28.420000076293945,28.920000076293945,27.06999969482422,27.450000762939453,12308900
2026-01-23,28.93000030517578,29.479999542236328,27.8700008392334,28.25,6581200
2026-01-26,29.170000076293945,29.690000534057617,28.219999313354492,28.940000534057617,6760400
2026-01-27,28.459999084472656,29.290000915527344,27.979999542236328,29.049999237060547,6393400
2026-01-28,30.059999465942383,30.260000228881836,28.309999465942383,28.850000381469727,7587000
2026-01-29,27.06999969482422,29.780000686645508,26.75,29.639999389648438,11330800
2026-01-30,25.920000076293945,27.1200008392334,25.90999984741211,27.0,9106300
2026-02-02,24.0,25.81999969482422,23.989999771118164,25.670000076293945,14686700
2026-02-03,21.389999389648438,23.420000076293945,20.941999435424805,23.399999618530273,25595900
2026-02-04,22.510000228881836,22.719999313354492,19.850000381469727,21.020000457763672,24194000
2026-02-05,22.200000762939453,22.969999313354492,21.420000076293945,21.829999923706055,25140300
