Price,Close,High,Low,Open,Volume
Ticker,CRCL,CRCL,CRCL,CRCL,CRCL
Date,,,,,
2025-10-16,128.4600067138672,136.8699951171875,127.87999725341797,135.9199981689453,7387800
2025-10-17,126.48999786376953,127.75800323486328,123.08999633789062,125.25,7837400
2025-10-20,130.80999755859375,135.72900390625,128.25,129.7899932861328,9339400
2025-10-21,129.85000610351562,133.0,125.6500015258789,130.4499969482422,9603000
2025-10-22,124.79000091552734,131.0,122.5,128.57000732421875,8810200
2025-10-23,129.86000061035156,130.00999450683594,124.30999755859375,124.9800033569336,6896100
2025-10-24,142.0500030517578,144.02999877929688,131.02000427246094,132.9600067138672,15678700
2025-10-27,143.2899932861328,147.44000244140625,138.10000610351562,146.92999267578125,9715600
2025-10-28,136.11000061035156,143.3800048828125,135.85000610351562,143.25,7857500
2025-10-29,131.74000549316406,136.0500030517578,129.67999267578125,136.0,7593600
2025-10-30,122.70999908447266,130.0,122.48999786376953,129.97000122070312,10751300
2025-10-31,126.9800033569336,129.39999389648438,124.87999725341797,126.30999755859375,6616900
2025-11-03,117.86000061035156,125.75,117.82599639892578,125.75,9050500
2025-11-04,111.25,117.19999694824219,108.9000015258789,113.79000091552734,10279100
2025-11-05,113.02999877929688,114.8499984741211,111.94000244140625,113.0999984741211,6050000
2025-11-06,100.01000213623047,113.36000061035156,100.0,113.05000305175781,11702600
2025-11-07,103.13999938964844,103.33000183105469,96.0999984741211,99.0,9524300
2025-11-10,104.0999984741211,110.53500366210938,102.58000183105469,107.80000305175781,8568000
2025-11-11,98.30000305175781,102.48999786376953,97.94999694824219,102.05000305175781,8745300
2025-11-12,86.30000305175781,95.5199966430664,85.86000061035156,93.8499984741211,39011300
2025-11-13,82.33999633789062,88.41999816894531,81.37999725341797,86.0199966430664,52219400
2025-11-14,81.88999938964844,85.05000305175781,81.5,83.5,37549600
2025-11-17,76.58999633789062,81.9000015258789,75.0999984741211,81.79000091552734,23753300
2025-11-18,76.5999984741211,78.1500015258789,75.04299926757812,75.62000274658203,16437600
2025-11-19,69.72000122070312,76.5999984741211,67.55000305175781,76.48999786376953,28886500
2025-11-20,66.93000030517578,71.40499877929688,64.91999816894531,71.29000091552734,20369400
2025-11-21,71.33000183105469,72.33000183105469,66.13999938964844,66.92500305175781,19456200
2025-11-24,72.73999786376953,73.43000030517578,69.61000061035156,72.0,15679700
2025-11-25,70.11000061035156,70.11000061035156,68.052001953125,69.13999938964844,12630900
2025-11-26,72.63999938964844,73.29000091552734,68.86000061035156,71.1500015258789,15840800
2025-11-28,79.93000030517578,81.4800033569336,74.0199966430664,75.30999755859375,22254900
2025-12-01,75.94000244140625,79.83999633789062,75.2300033569336,77.48999786376953,18852700
2025-12-02,77.44000244140625,80.7300033569336,77.18000030517578,78.4000015258789,16567100
2025-12-03,86.29000091552734,86.58999633789062,75.97000122070312,78.38999938964844,21053700
2025-12-04,87.45999908447266,88.2699966430664,83.19999694824219,83.9800033569336,14235400
2025-12-05,85.62000274658203,86.66000366210938,83.13999938964844,86.08999633789062,10474100
2025-12-08,83.95999908447266,87.41000366210938,81.33999633789062,86.94499969482422,10024600
2025-12-09,88.87999725341797,89.9800033569336,81.76000213623047,83.2300033569336,14570000
2025-12-10,88.41000366210938,89.55000305175781,85.05000305175781,87.33999633789062,9329300
2025-12-11,88.56999969482422,89.26000213623047,83.33000183105469,85.8499984741211,11154500
2025-12-12,83.47000122070312,91.30000305175781,82.02999877929688,89.52999877929688,13858000
2025-12-15,75.45999908447266,84.18000030517578,74.73400115966797,83.8499984741211,15025000
2025-12-16,83.0,83.5,77.33000183105469,77.86000061035156,15029100
2025-12-17,79.19999694824219,85.73999786376953,79.08000183105469,82.87999725341797,10977800
2025-12-18,80.98999786376953,84.47000122070312,80.08000183105469,82.73999786376953,10406200
2025-12-19,86.12999725341797,86.30000305175781,82.43000030517578,82.43499755859375,13856900
2025-12-22,87.0,91.19999694824219,86.43000030517578,87.73999786376953,10721200
2025-12-23,82.7300033569336,85.56999969482422,81.0199966430664,84.80000305175781,9394700
2025-12-24,82.63999938964844,83.04499816894531,79.86000061035156,82.72000122070312,6401500
2025-12-26,81.2699966430664,82.5,79.70999908447266,82.38999938964844,6140600
2025-12-29,80.51000213623047,83.03600311279297,79.12300109863281,79.24500274658203,7400500
2025-12-30,79.88999938964844,82.88999938964844,79.6500015258789,80.18000030517578,7561700
2025-12-31,79.30000305175781,80.38999938964844,78.7699966430664,79.95999908447266,5754000
2026-01-02,83.47000122070312,84.58000183105469,79.62000274658203,80.83999633789062,8382500
2026-01-05,84.80000305175781,88.05999755859375,84.0999984741211,84.57499694824219,9112400
2026-01-06,84.8499984741211,86.19999694824219,81.947998046875,86.0,7456700
2026-01-07,80.58999633789062,83.5999984741211,80.52999877929688,83.19000244140625,6610400
2026-01-08,81.79000091552734,82.72000122070312,78.8499984741211,79.9000015258789,5375000
2026-01-09,82.9000015258789,84.33000183105469,79.44999694824219,82.19999694824219,7686400
2026-01-12,82.9000015258789,83.12000274658203,79.8499984741211,81.13999938964844,6863200
2026-01-13,83.45999908447266,84.27999877929688,80.29000091552734,83.23500061035156,8436100
2026-01-14,84.80000305175781,88.45999908447266,81.75,84.98999786376953,14373600
2026-01-15,76.5999984741211,83.79000091552734,76.11000061035156,83.47000122070312,16933700
2026-01-16,78.61000061035156,80.0199966430664,75.58000183105469,76.73999786376953,9931600
2026-01-20,72.69999694824219,77.47000122070312,72.62000274658203,75.69999694824219,12061500
2026-01-21,72.63999938964844,74.58999633789062,70.41999816894531,72.9000015258789,8343200
2026-01-22,71.3499984741211,73.80999755859375,70.76000213623047,73.55000305175781,7345900
2026-01-23,71.33000183105469,72.55000305175781,69.87999725341797,70.86000061035156,7506200
2026-01-26,70.9000015258789,72.43000030517578,69.8499984741211,70.01000213623047,7238000
2026-01-27,69.95999908447266,70.53800201416016,67.5,70.37999725341797,10213400
2026-01-28,72.83999633789062,77.0,71.91000366210938,72.86000061035156,16300600
2026-01-29,67.55000305175781,70.5999984741211,65.75,70.30500030517578,16968100
2026-01-30,63.93000030517578,66.91000366210938,61.8849983215332,66.5999984741211,15737900
2026-02-02,58.86000061035156,61.869998931884766,58.40999984741211,61.5,14468200
2026-02-03,56.15999984741211,60.16600036621094,53.7599983215332,60.16600036621094,16819300
2026-02-04,55.04999923706055,56.290000915527344,51.52000045776367,56.185001373291016,14496000
2026-02-05,50.22999954223633,54.47800064086914,49.900001525878906,53.630001068115234,15489000
2026-02-06,57.040000915527344,57.79999923706055,53.619998931884766,53.80500030517578,17508700
2026-02-09,60.099998474121094,60.880001068115234,55.7599983215332,56.33000183105469,10755400
2026-02-10,59.75,62.0,58.29999923706055,58.540000915527344,7515500
2026-02-11,57.86000061035156,59.16999816894531,55.88999938964844,59.11000061035156,8585500
2026-02-12,56.630001068115234,58.75,55.310001373291016,58.75,8567200
2026-02-13,60.040000915527344,62.20000076293945,57.22999954223633,58.439998626708984,12023900
2026-02-17,61.619998931884766,62.900001525878906,57.02000045776367,59.27000045776367,9686900
2026-02-18,63.150001525878906,64.69999694824219,61.20000076293945,62.125,7462500
2026-02-19,61.91999816894531,62.849998474121094,59.79999923706055,62.26499938964844,6951600
2026-02-20,63.02000045776367,65.5,61.5,62.25,9415100
2026-02-23,61.16999816894531,63.130001068115234,59.83000183105469,62.095001220703125,8797200
2026-02-24,61.369998931884766,62.95000076293945,59.459999084472656,60.38999938964844,8283500
2026-02-25,83.13999938964844,83.3499984741211,71.19000244140625,73.7699966430664,63849900
2026-02-26,87.20999908447266,90.5999984741211,81.2300033569336,81.56500244140625,41836500
2026-02-27,83.44000244140625,84.9800033569336,80.97000122070312,83.62000274658203,19295200
2026-03-02,96.13999938964844,96.61000061035156,80.2300033569336,80.80000305175781,32855500
2026-03-03,99.62999725341797,104.30000305175781,91.12999725341797,91.5,33367000
2026-03-04,105.2699966430664,106.3499984741211,101.4000015258789,102.80000305175781,24171000
2026-03-05,105.73999786376953,110.12000274658203,103.30000305175781,105.2699966430664,20902200
2026-03-06,101.91000366210938,106.29000091552734,100.06999969482422,102.81999969482422,19662200
2026-03-09,111.83999633789062,112.66000366210938,104.9000015258789,105.20999908447266,21509600
2026-03-10,118.08999633789062,121.80000305175781,112.80000305175781,113.44000244140625,24161100
2026-03-11,112.80999755859375,123.3949966430664,111.72000122070312,119.80000305175781,19437400
2026-03-12,114.18000030517578,117.77999877929688,112.1500015258789,113.04499816894531,12296200
2026-03-13,115.37999725341797,119.30000305175781,113.16000366210938,118.33499908447266,11354300
2026-03-16,125.83000183105469,126.5,119.7699966430664,120.1500015258789,18613500
2026-03-17,132.30999755859375,136.64999389648438,122.73999786376953,124.01000213623047,23078300
2026-03-18,132.83999633789062,135.48599243164062,128.0,131.49000549316406,16909300
2026-03-19,128.3300018310547,129.74000549316406,121.41000366210938,126.32499694824219,19498400
2026-03-20,126.02999877929688,132.3800048828125,122.91000366210938,127.9749984741211,22700800
